symbol,datetime,open,high,low,close,volume
AAPL,2026-06-22 15:59:00,296.95001,297.29001,296.79001,296.79001,1046896
AAPL,2026-06-22 15:58:00,297.059998,297.14001,296.82001,296.94,473949
AAPL,2026-06-22 15:57:00,297.049988,297.21,297.019989,297.059998,303884
AAPL,2026-06-22 15:56:00,297.255,297.26999,297.019989,297.040009,255354
AAPL,2026-06-22 15:55:00,297.57501,297.67999,297.2,297.26001,280455
AAPL,2026-06-22 15:54:00,297.22,297.61,296.91,297.55499,276277
AAPL,2026-06-22 15:53:00,297.20001,297.24,296.91,297.20999,188126
AAPL,2026-06-22 15:52:00,297.32001,297.38,297.13,297.20001,161611
AAPL,2026-06-22 15:51:00,297.29501,297.44,297.21,297.32999,162998
AAPL,2026-06-22 15:50:00,297.10999,297.34,296.98,297.29001,213562
AAPL,2026-06-22 15:49:00,297.159,297.28,296.97,297.084991,145268
AAPL,2026-06-22 15:48:00,297.125,297.16,296.84,297.14999,124603
AAPL,2026-06-22 15:47:00,297.37,297.41,297.13,297.14001,97078
AAPL,2026-06-22 15:46:00,297.51999,297.54001,297.29999,297.37,114055
AAPL,2026-06-22 15:45:00,297.28,297.51999,297.26999,297.51999,138663
AAPL,2026-06-22 15:44:00,297.22,297.325,297.185,297.26999,109155
AAPL,2026-06-22 15:43:00,297.2005,297.31,297.16,297.22,115022
AAPL,2026-06-22 15:42:00,297.049988,297.22989,297.045,297.20001,108698
AAPL,2026-06-22 15:41:00,297.089996,297.20001,296.98999,297.059998,130692
AAPL,2026-06-22 15:40:00,297.16,297.22,297.079987,297.10501,135340
AAPL,2026-06-22 15:39:00,297.070007,297.20499,296.95999,297.16,126936
AAPL,2026-06-22 15:38:00,297.15509,297.21921,296.98499,297.070007,132480
AAPL,2026-06-22 15:37:00,297.30499,297.41989,297.13,297.14999,110807
AAPL,2026-06-22 15:36:00,297.465,297.54999,297.12,297.31,135706
AAPL,2026-06-22 15:35:00,297.67499,297.70001,297.32001,297.465,167752
AAPL,2026-06-22 15:34:00,297.67499,297.76001,297.57,297.69,168280
AAPL,2026-06-22 15:33:00,297.845,297.845,297.44,297.67001,187680
AAPL,2026-06-22 15:32:00,297.63,298.06,297.63,297.845,148164
AAPL,2026-06-22 15:31:00,298.35001,298.41,297.60999,297.64999,172780
AAPL,2026-06-22 15:30:00,299.059998,299.09,298.31,298.33499,166820
MSFT,2026-06-22 15:59:00,367.26999,367.57999,367.17001,367.17999,1011026
MSFT,2026-06-22 15:58:00,367.48499,367.5,367.07,367.255,575702
MSFT,2026-06-22 15:57:00,367.81,368.070007,367.38,367.48499,482659
MSFT,2026-06-22 15:56:00,368.040009,368.20001,367.79999,367.79999,320708
MSFT,2026-06-22 15:55:00,368.47,368.49,367.67999,368.040009,537270
MSFT,2026-06-22 15:54:00,368.54999,368.555,368.019989,368.47501,414446
MSFT,2026-06-22 15:53:00,369.059998,369.070007,368.51999,368.55499,233965
MSFT,2026-06-22 15:52:00,369.065002,369.16,368.85,369.082703,176273
MSFT,2026-06-22 15:51:00,369.049988,369.1763,368.91,369.079987,177869
MSFT,2026-06-22 15:50:00,369.35001,369.35001,368.64999,369.050598,207026
MSFT,2026-06-22 15:49:00,369.26999,369.38,369.22,369.35001,102957
MSFT,2026-06-22 15:48:00,369.41,369.42001,369.17,369.2782,83394
MSFT,2026-06-22 15:47:00,369.3002,369.53,369.22,369.39999,108599
MSFT,2026-06-22 15:46:00,369.035004,369.32999,369.01001,369.315,112279
MSFT,2026-06-22 15:45:00,369.01001,369.242,368.97,369.01001,122980
MSFT,2026-06-22 15:44:00,368.76001,369.10001,368.7,369.019989,102618
MSFT,2026-06-22 15:43:00,369.059998,369.10001,368.64999,368.745,142019
MSFT,2026-06-22 15:42:00,369.97,369.98999,369.059998,369.089996,115059
MSFT,2026-06-22 15:41:00,370.028809,370.20001,369.91,369.94,69038
MSFT,2026-06-22 15:40:00,369.95001,370.20001,369.82001,370.015015,87661
MSFT,2026-06-22 15:39:00,369.83011,369.95999,369.79999,369.95001,71044
MSFT,2026-06-22 15:38:00,369.91501,369.92001,369.64999,369.89001,82588
MSFT,2026-06-22 15:37:00,370.079987,370.099915,369.88,369.89999,53791
MSFT,2026-06-22 15:36:00,369.89499,370.10001,369.82501,370.079987,60631
MSFT,2026-06-22 15:35:00,370.040009,370.084991,369.85999,369.88,52843
MSFT,2026-06-22 15:34:00,370.23001,370.23001,369.95,370.019989,89215
MSFT,2026-06-22 15:33:00,370.26001,370.39001,370.17999,370.20999,59964
